"State","Score","num","denom"
"NC_Greene",0,0,2
"NC_Edgecombe",0,0,1
"NC_Duplin",0,0,2
"NC_Cumberland",0,0,2
"NC_Columbus",0,0,3
"NC_Chowan",0,0,4
"NC_Catawba",0,0,1
"NC_Bladen",0,0,2
"NC_Bertie",0,0,1
"MT_Lake",0,0,5
"MT_Gallatin",0,0,6
"MT_Broadwater",0,0,4
"MS_Yalobusha",0,0,5
"MS_Webster",0,0,5
"MS_Chickasaw",0,0,4
"MS_Calhoun",0,0,4
"MO_Dunklin",0,0,2
"MN_Wright",0,0,1
"MN_Washington",0,0,1
"MN_Wabasha",0,0,1
"MN_Todd",0,0,1
"MN_Stearns",0,0,2
"MN_Sherburne",0,0,3
"MN_Pope",0,0,2
"MN_Polk",0,0,1
"MN_Morrison",0,0,2
"MN_Meeker",0,0,1
"MN_Clay",0,0,2
"MN_Chisago",0,0,1
"MN_Benton",0,0,2
"MI_Van Buren",0,0,1
"MI_Tuscola",0,0,7
"MI_Saginaw",0,0,4
"MI_Presque Isle",0,0,3
"MI_Ottawa",0,0,3
"MI_Otsego",0,0,3
"MI_Oceana",0,0,6
"MI_Newaygo",0,0,6
"MI_Muskegon",0,0,5
"MI_Montcalm",0,0,5
"MI_Mecosta",0,0,4
"MI_Mason",0,0,6
"MI_Macomb",0,0,3
"MI_Livingston",0,0,3
"MI_Leelanau",0,0,7
"MI_Lapeer",0,0,5
"MI_Kent",0,0,3
"MI_Kalkaska",0,0,3
"MI_Isabella",0,0,5
"MI_Ionia",0,0,3
"MI_Gratiot",0,0,4
"MI_Grand Traverse",0,0,4
"MI_Genesee",0,0,3
"MI_Berrien",0,0,2
"MI_Benzie",0,0,7
"MI_Bay",0,0,6
"MI_Arenac",0,0,5
"MI_Antrim",0,0,3
"ME_York",0,0,3
"ME_Cumberland",0,0,2
"ME_Aroostook",0,0,2
"MD_Worcester",0,0,3
"MD_Wicomico",0,0,1
"MD_Washington",0,0,1
"MD_Harford",0,0,1
"MD_Carroll",0,0,2
"MD_Caroline",0,0,3
"MD_Baltimore",0,0,1
